new_max,iterations
1,0
2,2
3,3
4,4
5,6
6,8
7,10
8,13
9,16
10,19
11,24
12,28
13,33
14,38
15,44
16,49
17,56
18,63
19,70
20,77
21,86
22,94
23,103
24,113
25,123
26,133
27,143
28,154
29,165
30,176
31,188
32,200
33,213
34,226
35,241
36,255
37,269
