new_max,iterations
1,0
2,2
3,3
4,5
5,9
6,12
7,17
8,23
9,29
10,37
11,45
12,54
13,64
14,74
15,86
16,98
17,111
18,125
19,140
20,157
21,174
22,193
23,214
24,236
25,259
26,284
27,310
28,337
29,366
30,397
31,430
32,465
33,502
34,543
35,588
36,643
37,710
38,779
39,862
40,936
41,1035
42,1128
43,1245
44,1351
45,1467
46,1619
47,1811
48,2000
49,2297
50,2600
51,2898
52,3161
53,3581
54,4157
55,4948
