new_max,iterations
1,0
2,2
3,3
4,5
5,7
6,9
7,11
8,15
9,19
10,23
11,28
12,34
13,39
14,46
15,53
16,60
17,69
18,77
19,86
20,95
21,104
22,115
23,126
24,138
25,150
26,162
27,177
28,190
29,205
30,220
31,299
32,313
33,338
34,362
35,377
36,407
37,429
38,451
39,488
40,514
41,530
42,557
